Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
"Medical Practitioners","2013","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",57,
,,,,"FTE Total",51.8,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.5,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",8.8,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.2,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",103,
,,,,"FTE Total",105.6,
,,,"Hospital non-specialist","Number of Practitioners",42,
,,,,"FTE Total",51.9,
,,,"Specialist","Number of Practitioners",92,
,,,,"FTE Total",108.6,
,,,"Specialist-in-training","Number of Practitioners",35,
,,,,"FTE Total",40.4,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.7,
,,,"Non-clinician","FTE Total",3.0,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",27.5,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",89.1,
,,,"Hospital non-specialist","Number of Practitioners",31,
,,,,"FTE Total",36.3,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",31.4,
,,,"Specialist-in-training","Number of Practitioners",26,
,,,,"FTE Total",30.7,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",164,
,,,,"FTE Total",151.1,
,,,"Hospital non-specialist","Number of Practitioners",233,
,,,,"FTE Total",272.1,
,,,"Specialist","Number of Practitioners",542,
,,,,"FTE Total",601.3,
,,,"Specialist-in-training","Number of Practitioners",217,
,,,,"FTE Total",269.4,
,,,"Other clinician","Number of Practitioners",44,
,,,,"FTE Total",38.6,
,,,"Non-clinician","Number of Practitioners",21,
,,,,"FTE Total",17.8,
,,"Perth City","General practitioner (GP)","Number of Practitioners",271,
,,,,"FTE Total",244.2,
,,,"Hospital non-specialist","Number of Practitioners",345,
,,,,"FTE Total",391.3,
,,,"Specialist","Number of Practitioners",1127,
,,,,"FTE Total",1268.2,
,,,"Specialist-in-training","Number of Practitioners",459,
,,,,"FTE Total",543.2,
,,,"Other clinician","Number of Practitioners",94,
,,,,"FTE Total",71.0,
,,,"Non-clinician","Number of Practitioners",29,
,,,,"FTE Total",27.3,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",67,
,,,,"FTE Total",59.7,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",5.4,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",33,
,,,,"FTE Total",30.1,
,,"Swan","General practitioner (GP)","Number of Practitioners",107,
,,,,"FTE Total",103.7,
,,,"Hospital non-specialist","Number of Practitioners",30,
,,,,"FTE Total",28.7,
,,,"Specialist","Number of Practitioners",52,
,,,,"FTE Total",56.9,
,,,"Specialist-in-training","Number of Practitioners",38,
,,,,"FTE Total",38.9,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",181,
,,,,"FTE Total",159.3,
,,,"Hospital non-specialist","Number of Practitioners",92,
,,,,"FTE Total",101.9,
,,,"Specialist","Number of Practitioners",153,
,,,,"FTE Total",174.0,
,,,"Specialist-in-training","Number of Practitioners",110,
,,,,"FTE Total",118.3,
,,,"Other clinician","Number of Practitioners",19,
,,,,"FTE Total",17.3,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",5.2,
,,"Stirling","General practitioner (GP)","Number of Practitioners",140,
,,,,"FTE Total",129.7,
